Date,total_confirmed_cases,total_discharged,total_deaths,total_active_cases,new_confirmed_cases,new_discharged,new_deaths,State,data
2020-06-29,302.0,207.0,3.0,92.0,0.0,0.0,0.0,Abia,
2020-06-29,84.0,47.0,6.0,31.0,0.0,9.0,0.0,Adamawa,
2020-06-29,124.0,47.0,5.0,72.0,8.0,0.0,0.0,Osun,
2020-06-29,1372.0,686.0,12.0,674.0,66.0,180.0,1.0,Oyo,
2020-06-29,1211.0,904.0,51.0,256.0,11.0,38.0,0.0,Kano,
2020-06-29,317.0,191.0,6.0,120.0,0.0,0.0,0.0,Jigawa,
2020-06-29,198.0,100.0,12.0,86.0,13.0,3.0,0.0,Bayelsa,
2020-06-29,43.0,29.0,2.0,12.0,0.0,0.0,0.0,Ekiti,
2020-06-29,965.0,190.0,23.0,752.0,53.0,0.0,1.0,Delta,
2020-06-29,59.0,30.0,1.0,28.0,12.0,15.0,0.0,Benue,
2020-06-29,714.0,478.0,12.0,224.0,11.0,29.0,0.0,Kaduna,
2020-06-29,213.0,113.0,8.0,92.0,7.0,1.0,0.0,Nasara,
2020-06-29,551.0,270.0,22.0,259.0,2.0,3.0,0.0,Katsina,
2020-06-29,76.0,42.0,6.0,28.0,0.0,0.0,0.0,Kebbi,
2020-06-29,1056.0,605.0,38.0,413.0,0.0,21.0,0.0,Rivers,
2020-06-29,84.0,37.0,3.0,44.0,0.0,0.0,0.0,Niger,
2020-06-29,986.0,280.0,36.0,670.0,24.0,3.0,1.0,Edo,
2020-06-29,151.0,118.0,15.0,18.0,0.0,0.0,0.0,Sokoto,
2020-06-29,318.0,40.0,5.0,273.0,15.0,2.0,1.0,Imo,
2020-06-29,76.0,71.0,5.0,0.0,0.0,0.0,0.0,Zamfara,
2020-06-29,217.0,128.0,6.0,83.0,0.0,0.0,0.0,Kwara,
2020-06-29,59.0,48.0,8.0,3.0,0.0,0.0,0.0,Yobe,
2020-06-29,438.0,344.0,3.0,91.0,43.0,2.0,0.0,Ebonyi,
2020-06-29,4.0,0.0,0.0,4.0,0.0,0.0,0.0,Kogi,
2020-06-29,276.0,89.0,19.0,168.0,32.0,0.0,0.0,Ondo,
2020-06-29,261.0,63.0,6.0,192.0,0.0,13.0,0.0,Enugu,
2020-06-29,10310.0,1593.0,127.0,8590.0,166.0,1.0,1.0,Lagos,
2020-06-29,491.0,422.0,32.0,37.0,5.0,4.0,0.0,Borno,
2020-06-29,86.0,54.0,2.0,30.0,0.0,0.0,0.0,Akwa Ibom,
2020-06-29,73.0,57.0,9.0,7.0,2.0,0.0,0.0,Anambra,
2020-06-29,807.0,570.0,18.0,219.0,25.0,31.0,0.0,Ogun,
2020-06-29,19.0,10.0,0.0,9.0,0.0,0.0,0.0,Taraba,
2020-06-29,503.0,350.0,19.0,134.0,11.0,4.0,3.0,Gombe,
2020-06-29,500.0,439.0,12.0,49.0,0.0,0.0,0.0,Bauchi,
2020-06-28,19.0,10.0,0.0,9.0,0.0,0.0,0.0,Taraba,
2020-06-28,10144.0,1592.0,126.0,8426.0,118.0,62.0,0.0,Lagos,
2020-06-28,43.0,29.0,2.0,12.0,0.0,1.0,0.0,Ekiti,
2020-06-28,76.0,42.0,6.0,28.0,0.0,0.0,0.0,Kebbi,
2020-06-28,1306.0,506.0,11.0,789.0,1.0,0.0,0.0,Oyo,
